patronal,institución,Agrupacion de Acuedo ley de Presupuesto,Agrupacion por Órganos del Estado,Agrupacion por areas de gestión
706970169,UNIDAD EJECUTORA DE PROYECTO DEL PROGRAMA SALUD BASICA RURAL SAN MIGUEL,Gobierno Central,Órgano Ejecutivo,Salud
4800003,MINISTERIO DE HACIENDA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
11790001,MINISTERIO DE HACIENDA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
103790006,MINISTERIO DE HACIENDA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
305890010,MINISTERIO DE HACIENDA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
314800003,MINISTERIO DE HACIENDA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
401890165,MINISTERIO DE HACIENDA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
406800003,MINISTERIO DE HACIENDA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
408890009,MINISTERIO DE HACIENDA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
512890009,MINISTERIO DE HACIENDA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
607800003,MINISTERIO DE HACIENDA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
702890032,MINISTERIO DE HACIENDA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
709890013,MINISTERIO DE HACIENDA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
713890009,MINISTERIO DE HACIENDA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
810790006,MINISTERIO DE HACIENDA,Gobierno Central,Órgano Ejecutivo,Economía e inversión
106800010,MINISTERIO DE AGRICULTURA,Gobierno Central,Órgano Ejecutivo,Agricultura
112890002,MINISTERIO DE AGRICULTURA Y GANADERIA,Gobierno Central,Órgano Ejecutivo,Agricultura
311790011,MINISTERIO DE AGRICULTURA Y GANADERIA,Gobierno Central,Órgano Ejecutivo,Agricultura
402890022,MINISTERIO DE AGRICULTURA Y GANADERIA,Gobierno Central,Órgano Ejecutivo,Agricultura
407810004,MINISTERIO DE AGRICULTURA Y GANADERIA,Gobierno Central,Órgano Ejecutivo,Agricultura
408890004,MINISTERIO DE AGRICULTURA Y GANADERIA,Gobierno Central,Órgano Ejecutivo,Agricultura
409890003,MINISTERIO DE AGRICULTURA Y GANADERIA,Gobierno Central,Órgano Ejecutivo,Agricultura
410790009,MINISTERIO DE AGRICULTURA Y GANADERIA,Gobierno Central,Órgano Ejecutivo,Agricultura
501890130,MINISTERIO DE AGRICULTURA Y GANADERIA,Gobierno Central,Órgano Ejecutivo,Agricultura
513890003,MINISTERIO DE AGRICULTURA Y GANADERIA,Gobierno Central,Órgano Ejecutivo,Agricultura
514810001,MINISTERIO DE AGRICULTURA Y GANADERIA,Gobierno Central,Órgano Ejecutivo,Agricultura
605890003,MINISTERIO DE AGRICULTURA Y GANADERIA,Gobierno Central,Órgano Ejecutivo,Agricultura
703790009,MINISTERIO DE AGRICULTURA Y GANADERIA,Gobierno Central,Órgano Ejecutivo,Agricultura
704800010,MINISTERIO DE AGRICULTURA Y GANADERIA,Gobierno Central,Órgano Ejecutivo,Agricultura
2060103,CONVENIO DE COOPERACION TECNICO-AGRICOLA MISION TCNICA TAIWAN,Otros,Órgano Ejecutivo,Agricultura
903060039,CONVENIO DE COOPERACION TECNICO-AGRICOLA   (ENTRE EL SALVADOR Y REPUBLICA CHINA),Otros,Órgano Ejecutivo,Agricultura
602020228,OFICINA COORDINADORA DE PROYECTOS,Otros,Órgano Ejecutivo,Agricultura
501890233,PLANIFICACION Y EVALUACION DE LA REFORMA AGRARIA   (MAG)},Gobierno Central,Órgano Ejecutivo,Agricultura
901971193,MINISTERIO DE MEDIO AMBIENTE Y RECURSOS NATURALES,Gobierno Central,Órgano Ejecutivo,Medio Ambiente y Vulnerabilidad
